web-scraper-order;web-scraper-start-url;links;links-href;prijs;slaapkamers;bewoonbare_ruimte;grond;bouwjaar;conditie;badkamers;energieklasse;postcode;image1;image2
1653075838-331;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/aalst/9300/9921746?searchId=6287ef798ce64;€ 285.000;3 slaapkamers;165;149;1919;Net gerenoveerd;1 badkamer;F;9300;https://static.immoweb.be/photos/0/9/9/2/1/7/4/6/9921746_1.jpg?cache=20220519144913;https://static.immoweb.be/photos/0/9/9/2/1/7/4/6/M_9921746_2.jpg?cache=20220519144913
1653075883-350;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/denderleeuw/9470/9905115?searchId=6287ef798ce64;€ 259.000;2 slaapkamers;125;160;1918;Goed;1 badkamer;F;9470;https://static.immoweb.be/photos/0/9/9/0/5/1/1/5/9905115_1.jpg?cache=20220511042905;https://static.immoweb.be/photos/0/9/9/0/5/1/1/5/M_9905115_2.jpg?cache=20220511042905
1653075716-281;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=28&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/ronse/9600/9893897?searchId=6287eee822545;€ 125.000;2 slaapkamers;101;180;1915;Goed;1 badkamer;E;9600;https://static.immoweb.be/photos/0/9/8/9/3/8/9/7/9893897_1.jpg?cache=20220505040949;https://static.immoweb.be/photos/0/9/8/9/3/8/9/7/M_9893897_2.jpg?cache=20220505040949
1653075519-200;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=31&orderBy=relevance;Villa;https://www.immoweb.be/nl/zoekertje/villa/te-koop/hoei/4500/9738320?searchId=6287ee0f28c7a;€ 379.000;4 slaapkamers;213;7969;1976;Goed;1 badkamer;E;4500;https://static.immoweb.be/photos/0/9/7/3/8/3/2/0/9738320_1.jpg?cache=20220203162347;https://static.immoweb.be/photos/0/9/7/3/8/3/2/0/M_9738320_2.jpg?cache=20220203162347
1653075747-294;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=28&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/berloz-corswarem/4257/9915527?searchId=6287eee822545;€ 269.000;4 slaapkamers;170;415;1950;Op te frissen;1 badkamer;G;4257;https://static.immoweb.be/photos/0/9/9/1/5/5/2/7/9915527_1.jpg?cache=20220516214346;https://static.immoweb.be/photos/0/9/9/1/5/5/2/7/M_9915527_2.jpg?cache=20220516214346
1653075517-199;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=31&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/drogenbos/1620/9859247?searchId=6287ee0f28c7a;€ 385.000;3 slaapkamers;160;117;1930;Goed;2 badkamers;C;1620;https://static.immoweb.be/photos/0/9/8/5/9/2/4/7/9859247_1.jpg?cache=20220415031852;https://static.immoweb.be/photos/0/9/8/5/9/2/4/7/M_9859247_2.jpg?cache=20220415031852
1653075742-292;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=28&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/lier/2500/9914544?searchId=6287eee822545;€ 499.000;3 slaapkamers;279;215;2011;Goed;2 badkamers;A;2500;https://static.immoweb.be/photos/0/9/9/1/4/5/4/4/9914544_1.jpg?cache=20220516130850;https://static.immoweb.be/photos/0/9/9/1/4/5/4/4/M_9914544_2.jpg?cache=20220516130850
1653075794-313;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=27&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/uccle/1180/9903356?searchId=6287ef3138d15;€ 445.000;2 slaapkamers;107;177;1930;Te renoveren;1 badkamer;G;1180;https://media-resize.immowebstatic.be/classifieds/8c117abc-c0e9-49e7-bd52-9e435e15735b/736x736/9405eba430871e4aa67d0319d8ace144.jpg?cache=20220510114033;https://media-resize.immowebstatic.be/classifieds/8c117abc-c0e9-49e7-bd52-9e435e15735b/300x300/cd38b8f68a5d59079104191086784555.jpg?cache=20220510114033
1653075505-194;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=31&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/buggenhout/9255/9885551?searchId=6287ee0f28c7a;€ 388.000;4 slaapkamers;210;633;1954;Op te frissen;1 badkamer;D;9255;https://static.immoweb.be/photos/0/9/8/8/5/5/5/1/9885551_1.jpg?cache=20220430053856;https://static.immoweb.be/photos/0/9/8/8/5/5/5/1/M_9885551_2.jpg?cache=20220430053855
1653075707-277;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=28&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/trooz/4870/9829170?searchId=6287eee822545;€ 136.000;3 slaapkamers;130;237;1925;Te renoveren;1 badkamer;G;4870;https://static.immoweb.be/photos/0/9/8/2/9/1/7/0/9829170_1.jpg?cache=20220329031401;https://static.immoweb.be/photos/0/9/8/2/9/1/7/0/M_9829170_2.jpg?cache=20220329031401
1653075700-274;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=28&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/beyne-heusay/4610/9792334?searchId=6287eee822545;€ 149.000;3 slaapkamers;195;178;1900;Te renoveren;1 badkamer;E;4610;https://static.immoweb.be/photos/0/9/7/9/2/3/3/4/9792334_1.jpg?cache=20220308030906;https://static.immoweb.be/photos/0/9/7/9/2/3/3/4/M_9792334_2.jpg?cache=20220308030906
