web-scraper-order;web-scraper-start-url;links;links-href;prijs;slaapkamers;bewoonbare_ruimte;grond;bouwjaar;conditie;badkamers;energieklasse;postcode;image1;image2
1652358337-81;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/antwerpen/2060/9899962?searchId=627cfae60a111;€ 530.000;3 slaapkamers;262;215;1870;Uitstekende staat;;C;2060;https://media-resize.immowebstatic.be/classifieds/ed653a56-e41c-44e8-8a82-63fb24bb26db/736x736/68182f47fb5b44d36caec9ec8fca6917.jpg?cache=20220508185822;https://media-resize.immowebstatic.be/classifieds/ed653a56-e41c-44e8-8a82-63fb24bb26db/300x300/6fedc3ebc5c62103955402fd1abb0568.jpg?cache=20220508185822
1652358341-82;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/bullingen/4760/9812722?searchId=627cfae60a111;€ 275.000;7 slaapkamers;213;598;1920;Goed;2 badkamers;E;4760;https://static.immoweb.be/photos/0/9/8/1/2/7/2/2/9812722_1.jpg?cache=20220318153358;https://static.immoweb.be/photos/0/9/8/1/2/7/2/2/M_9812722_2.jpg?cache=20220318153358
1652358344-83;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=25&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/beringen/3580/9902437?searchId=627cfaea6f203;€ 529.000;3 slaapkamers;269;1186;1996;Uitstekende staat;2 badkamers;C;3580;https://static.immoweb.be/photos/0/9/9/0/2/4/3/7/9902437_1.jpg?cache=20220510034848;https://static.immoweb.be/photos/0/9/9/0/2/4/3/7/M_9902437_2.jpg?cache=20220510034848
1652358348-84;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=25&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/rotselaar/3110/9413354?searchId=627cfaea6f203;€ 260.000;4 slaapkamers;145;491;1930;Op te frissen;1 badkamer;E;3110;https://static.immoweb.be/photos/0/9/4/1/3/3/5/4/9413354_1.jpg?cache=20220328234419;https://static.immoweb.be/photos/0/9/4/1/3/3/5/4/M_9413354_2.jpg?cache=20220328234904
1652358352-85;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/ronse/9600/9901994?searchId=627cfae60a111;€ 245.000;3 slaapkamers;142;150;;Net gerenoveerd;1 badkamer;D;9600;https://static.immoweb.be/photos/0/9/9/0/1/9/9/4/9901994_1.jpg?cache=20220509215902;https://static.immoweb.be/photos/0/9/9/0/1/9/9/4/M_9901994_2.jpg?cache=20220509215902
1652358355-86;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/tremelo/3120/9816940?searchId=627cfae60a111;€ 375.000;3 slaapkamers;165;894;1992;Uitstekende staat;1 badkamer;D;3120;https://static.immoweb.be/photos/0/9/8/1/6/9/4/0/9816940_1.jpg?cache=20220328234909;https://static.immoweb.be/photos/0/9/8/1/6/9/4/0/M_9816940_2.jpg?cache=20220328234515
1652358358-87;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/riemst-herderen/3770/9893887?searchId=627cfae60a111;€ 339.000;5 slaapkamers;258;1214;1947;Goed;2 badkamers;F;3770;https://static.immoweb.be/photos/0/9/8/9/3/8/8/7/9893887_1.jpg?cache=20220505040452;https://static.immoweb.be/photos/0/9/8/9/3/8/8/7/M_9893887_2.jpg?cache=20220505040453
1652358361-88;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/holsbeek/3220/9807326?searchId=627cfae60a111;€ 359.000;3 slaapkamers;146;1574;1967;Te renoveren;1 badkamer;F;3220;https://static.immoweb.be/photos/0/9/8/0/7/3/2/6/9807326_1.jpg?cache=20220328234502;https://static.immoweb.be/photos/0/9/8/0/7/3/2/6/M_9807326_2.jpg?cache=20220328234908
1652358368-90;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=25&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/baasrode/9200/9903999?searchId=627cfaea6f203;€ 254.000;3 slaapkamers;267;277;1957;Te renoveren;1 badkamer;F;9200;https://static.immoweb.be/photos/0/9/9/0/3/9/9/9/9903999_1.jpg?cache=20220510153720;https://static.immoweb.be/photos/0/9/9/0/3/9/9/9/M_9903999_2.jpg?cache=20220510153720
1652358371-91;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/kraainem/1950/9878348?searchId=627cfae60a111;€ 695.000;3 slaapkamers;195;233;1990;Goed;1 badkamer;C;1950;https://static.immoweb.be/photos/0/9/8/7/8/3/4/8/9878348_1.jpg?cache=20220427035401;https://static.immoweb.be/photos/0/9/8/7/8/3/4/8/M_9878348_2.jpg?cache=20220427035401
1652358374-92;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/waregem/8790/9907516?searchId=627cfae60a111;€ 335.000;3 slaapkamers;200;570;1970;Goed;1 badkamer;Niet gespecificeerd;8790;https://static.immoweb.be/photos/0/9/9/0/7/5/1/6/9907516_1.jpg?cache=20220512041429;https://static.immoweb.be/photos/0/9/9/0/7/5/1/6/M_9907516_2.jpg?cache=20220512041429
1652358377-93;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Villa;https://www.immoweb.be/nl/zoekertje/villa/te-koop/marke/8510/9898751?searchId=627cfae60a111;€ 850.000;5 slaapkamers;450;1835;1992;Goed;1 badkamer;C;8510;https://static.immoweb.be/photos/0/9/8/9/8/7/5/1/9898751_1.jpg?cache=20220507035850;https://static.immoweb.be/photos/0/9/8/9/8/7/5/1/M_9898751_2.jpg?cache=20220507035850
1652358384-95;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/kinrooi/3640/9894106?searchId=627cfae60a111;€ 289.000;4 slaapkamers;134;925;1966;Goed;1 badkamer;F;3640;https://static.immoweb.be/photos/0/9/8/9/4/1/0/6/9894106_1.jpg?cache=20220505081845;https://static.immoweb.be/photos/0/9/8/9/4/1/0/6/M_9894106_2.jpg?cache=20220505081845
1652358388-96;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Herenhuis;https://www.immoweb.be/nl/zoekertje/herenhuis/te-koop/brugge/8000/9907082?searchId=627cfae60a111;€ 1.749.000;5 slaapkamers;405;200;;Uitstekende staat;4 badkamers;D;8000;https://static.immoweb.be/photos/0/9/9/0/7/0/8/2/9907082_1.jpg?cache=20220511224904;https://static.immoweb.be/photos/0/9/9/0/7/0/8/2/M_9907082_2.jpg?cache=20220511224904
1652358392-97;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=26&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/schoten/2900/9865119?searchId=627cfae60a111;€ 299.000;3 slaapkamers;117;204;1950;Uitstekende staat;1 badkamer;F;2900;https://static.immoweb.be/photos/0/9/8/6/5/1/1/9/9865119_1.jpg?cache=20220420020358;https://static.immoweb.be/photos/0/9/8/6/5/1/1/9/M_9865119_2.jpg?cache=20220420020359
1652358395-98;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=25&orderBy=relevance;Villa;https://www.immoweb.be/nl/zoekertje/villa/te-koop/heusden-zolder/3550/9902091?searchId=627cfaea6f203;€ 695.000;4 slaapkamers;383;2438;1980;Goed;2 badkamers;C;3550;https://static.immoweb.be/photos/0/9/9/0/2/0/9/1/9902091_1.jpg?cache=20220509224845;https://static.immoweb.be/photos/0/9/9/0/2/0/9/1/M_9902091_2.jpg?cache=20220509224845
1652358401-100;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=25&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/gavere/9890/9900104?searchId=627cfaea6f203;€ 475.000;5 slaapkamers;190;901;;Uitstekende staat;1 badkamer;C;9890;https://media-resize.immowebstatic.be/classifieds/10687928-a225-4613-823b-3dd31b88bddc/736x736/2d9a969a7343e44c6d0788788e359e3d.jpg?cache=20220509082657;https://media-resize.immowebstatic.be/classifieds/10687928-a225-4613-823b-3dd31b88bddc/300x300/249d2e2faf437b5fa9eff0b5ace6894e.jpg?cache=20220509082657
